,Global Energy,Global Energy/Atom,Local Energy
Units,kcal/mol,kcal/mol/Atom,kcal/mol/Atom
Root Mean Squared Error,23.47218479443934,1.9553088215400658,2.487803518793061
Mean Absolute Error,17.01041220260911,1.2395757181007812,1.779784962350098
Max Absolute Error,102.15705334861457,14.593864764087783,17.38183636630015
r²,0.9920526442494219,0.9316814256084488,0.7858204364682574
Variance of Log Absolute Error,1.5913509676506898,1.7647890709081753,1.4175029615534487
Linear Fit Slope,1.0385137771902406,0.7311724589708327,0.7564231027176347
Linear Fit y-Intercept,62.44327040668708,-27.156357095306088,-24.566442041753398
