,Fx,Fy,Fz,|F|,θ
Units,eV/ang,eV/ang,eV/ang,eV/ang,°
Root Mean Squared Error,30.214544623952392,16.328846729893108,7.787728560339929,34.26789609146859,30.493693344803244
Mean Absolute Error,14.529509739347361,10.978921336677784,2.418838633009176,19.366666540851757,17.09147558764343
Max Absolute Error,220.67319104239016,58.68986139988459,57.48001236669941,221.47270983579617,147.647952836355
r²,0.06476999074765255,0.015016665589992031,0.03759650697244129,0.07990823819587985,0.11628604924903678
Variance of Log Absolute Error,1.6948850720735327,2.2463977570228635,,1.747390853730213,
Linear Fit Slope,4.78438799975773,1.3907545953650005,2.346804902755697,6.043798335578862,0.22334560799535091
Linear Fit y-Intercept,-2.7614707114466106,2.199440784793478,-1.4320244948612907e-11,10.152093017244676,69.89889528027383
