,Fx,Fy,Fz,|F|,θ
Units,eV/ang,eV/ang,eV/ang,eV/ang,°
Root Mean Squared Error,1.9747306484359939,2.028707990326306,1.036234860463248,2.5956020509116544,24.10151176579169
Mean Absolute Error,1.343967478558131,1.352454728667205,0.6937601162807032,1.811751599275064,16.454847482180874
Max Absolute Error,15.75167898241186,17.18099383096703,7.5132732173305135,17.6803419897115,137.98119001103282
r²,0.4907747827216764,0.42642933470410965,0.642990888236743,0.3025373903366981,0.4628979753964785
Variance of Log Absolute Error,1.5314494464394361,1.6348536112929446,1.729536315522213,1.542571392291147,1.6714897665029957
Linear Fit Slope,1.2350248838464595,1.4998037306748766,1.2729429529098608,0.93005562506104,0.6883957902394247
Linear Fit y-Intercept,0.19387932307349298,0.06633430152576508,-4.3443245227308746e-05,1.7983950501410864,27.87730541687348
