,Fx,Fy,Fz,|F|,θ
Units,eV/ang,eV/ang,eV/ang,eV/ang,°
Root Mean Squared Error,0.0,0.0,0.030231193706341142,0.030231193706341142,0.0
Mean Absolute Error,0.0,0.0,0.023120040315768593,0.023120040315768593,0.0
Max Absolute Error,0.0,0.0,0.06862511955367712,0.06862511955367712,0.0
r²,,,0.9999084359814882,0.9997419723756092,0.9999999999999998
Variance of Log Absolute Error,,,1.3956860086545229,1.3956860086545229,
Linear Fit Slope,,,0.9902332276475662,0.9761639134442318,1.0000000000000002
Linear Fit y-Intercept,,,-4.587613902716655e-17,0.03459688805292364,8.65529637094782e-15
