,Fx,Fy,Fz,|F|,θ
Units,eV/ang,eV/ang,eV/ang,eV/ang,°
Root Mean Squared Error,0.0,0.0,0.07293970111365423,0.07293970111365423,0.0
Mean Absolute Error,0.0,0.0,0.03160471213214579,0.03160471213214579,0.0
Max Absolute Error,0.0,0.0,0.3446228238830926,0.3446228238830926,0.0
r²,,,0.999980132488396,0.9999629538924905,0.9999999999999998
Variance of Log Absolute Error,,,2.0760829304436594,2.0760829304436594,
Linear Fit Slope,,,0.9968418461370867,0.9940005899719911,1.0000000000000013
Linear Fit y-Intercept,,,-3.5425211099052674e-16,0.04888536010833587,-4.895435360702641e-15
