,Global Energy,Global Energy/Atom,Local Energy
Units,eV,eV/Atom,eV/Atom
Root Mean Squared Error,0.000729714724543753,0.0003648573622718765,0.0003648573622718761
Mean Absolute Error,0.0004830978044960066,0.0002415489022480033,0.00024154890224800275
Max Absolute Error,0.0023142531465731864,0.0011571265732865932,0.0011571265732865932
r²,0.9999993848102167,0.9999993848102167,0.9999993848102147
Variance of Log Absolute Error,1.7453051663597718,1.7453051663597718,1.7453051663597712
Linear Fit Slope,1.0000314147809386,1.0000314147809386,1.0000314147809382
Linear Fit y-Intercept,-0.00011857419284002995,-5.9287096420014974e-05,-7.304569411215265e-05
