,Fx,Fy,Fz,|F|,θ
Units,eV/ang,eV/ang,eV/ang,eV/ang,°
Root Mean Squared Error,0.0,0.0,0.01914389875551045,0.01914389875551045,0.0
Mean Absolute Error,0.0,0.0,0.012274440311039246,0.012274440311039246,0.0
Max Absolute Error,0.0,0.0,0.05798138509806616,0.05798138509806616,0.0
r²,,,0.9999856754049373,0.9999375213973656,0.9999999999999998
Variance of Log Absolute Error,,,1.5316765832049075,1.5316765832049075,
Linear Fit Slope,,,0.9991563101666655,1.0000438562271337,1.0000000000000002
Linear Fit y-Intercept,,,-8.845569720846385e-17,-0.004981933963879813,8.65529637094782e-15
