,Fx,Fy,|F|
Units,eV/ang,eV/ang,eV/ang
Root Mean Squared Error,8.962877155070238,8.962870424280299,12.613255486941988
Mean Absolute Error,5.970675175563927,6.894330379137462,10.16039299683805
Max Absolute Error,20.19736009496621,23.321936504849106,23.321947302838893
r²,0.6920429765131814,0.6920443064944778,0.2995663364622079
Variance of Log Absolute Error,104.49910565449512,1.892854404119292,2.0561486147748083
Linear Fit Slope,5.9257024582150875,5.925698491794779,4.064278931969839
Linear Fit y-Intercept,2.484661561347596e-10,2.0433221708500577e-10,4.923978461474165
